Akaa, Kylmäkosken kirkko
Alajärvi, Gabrielin kirkko
Alajärvi, Lehtimäen kirkko
Alavus, Alavuden kirkko
Asikkala, Asikkalan kirkko
Enontekiö, Enontekiön (Hetan)
Espoo, Espoon tuomiokirkko
Espoo, Otaniemen kappeli
Espoo, Tapiolan kirkko
Eura, Euran kirkko
Eurajoki, Irjanteen kirkko
Eurajoki, Luvian kirkko
Forssa, Forssan kirkko
Haapajärvi, Kristuksen Kirkastumisenkirkko
Hartola, Hartolan kirkko
Hattula, Pyhän Ristin kirkko
Heinola, Heinolan kirkko
Heinävesi, Heinäveden Kirkastusvuoren kirkko
Heinävesi, Valamon luostarin Kristuksen Kirkastumisen kirkko
Helsinki, Kallion kirkko
Hollola, Hollolan Pyhän Marian kirkko
Huittinen, Huittisten Pyhän Katariinan Kirkko
Huittinen, Vampulan kirkko
Hyrynsalmi, Hyrynsalmen kirkko
Hyvinkää, Hyvinkään kirkko
Hämeenkyrö, Hämeenkyrön kirkko
Hämeenlinna, Hauhon Pyhän Johannes Kastajan kirkko
Hämeenlinna, Hämeenlinnan kirkko
Hämeenlinna, Rengon Pyhän Jaakon kirkko
Ii, Iin kirkko
Iisalmi, Kustaa Aadolfin kirkko
Ikaalinen, Fredrika Sofian kirkko
Ilmajoki, Ilmajoen kirkko
Ilomantsi, Hattuvaaran pyhien apostolien Pietarin ja Paavalin tsasouna
Ilomantsi, Ilomantsin evlut kirkko
Ilomantsi, Pyhän profeetta Elian kirkko
Imatra, Kolmen Ristin Kirkko
Inari, Inarin kirkko (Saamelaiskirkko)
Inkoo, Degerbyn kirkko
Inkoo, Inkoon kirkko
Isokyrö, Isonkyrön vanha kirkko
Jalasjärvi, Jalasjärven kirkko
Janakkala, Janakkalan Pyhän Laurin kirkko
Joenu, Joensuun evlut kirkko
Joenu, Utran kirkko
Jomala, Pyhän Olavin kirkko
Joroinen, Joroisten kirkko
Joutsa, Joutsan kirkko
Juankoski, Ylösnousemuksen kirkko
Juva, Juvan kirkko
Jyväskylä, Kaupunginkirkko
Jyväskylä, Korpilahden kirkko
Jyväskylä, Kristuksen ylösnousemuksen kirkko
Jyväskylä, Kuokkalan kirkko
Jämsä, Jämsän kirkko
Jämsä, Kuoreveden kirkko
Kaarina, Kuusiston kirkko
Kaavi, Kaavin kirkko
Kajaani, Kristuksen kirkastumisen kirkko
Kajaani, Paltamon vanha kirkko
Kalajoki, Himangan kirkko
Kangasala, Kangasalan kirkko
Kankaanpää, Kankaanpään kirkko
Kannus, Kannuksen kirkko
Kauhava, Kauhavan kirkko
Kauhava, Kortesjärven kirkko
Kauhava, Ylihärmän kirkko
Kaustinen, Kaustisen kirkko
Kemi, Kemin kirkko
Kemi, Pyhän Johannes Kastajan syntymän kirkko
Keminmaa, Keminmaan Uusi kirkko
Kerava, Keravan kirkko
Keuruu, Keuruun kirkko
Kihniö, Kihniön kirkko
Kirkkonummi, Haapajärven kirkko (Pyhän Martin kirkko)
Kirkkonummi, Pyhän Mikaelin kirkko
Kitee, Kesälahden kirkko
Kitee, Kiteen kirkko
Kittilä, Kittilän kirkko
Kittilä, Marian kappeli
Kiuruvesi, Kiuruveden kirkko
Kokkola, Kaarlelan kirkko
Kokkola, Lohtajan (Sophia Magdalenan) kirkko
Konnevesi, Konneveden kirkko
Kotka, Kotkan evlut kirkko
Kotka, Pyhän Nikolaoksen kirkko
Kouvola, Elimäen kirkko
Kouvola, Jaalan kirkko
Kouvola, Kouvolan Keskuskirkko
Kouvola, Valkealan kirkko
Kruunupyy, Teerijärven kirkko
Kuhmo, Kuhmon kirkko
Kuhmo, Lentiiran kirkko
Kuhmoinen, Päijälän rukoushuone
Kuopio, Kuopion Tuomiokirkko
Kuopio, Maaningan kirkko
Kuopio, Muuruveden kirkko
Kuopio, Nilsiän kirkko
Kuopio, Pyhän Nikolaoksen katedraali
Kuopio, Riistaveden kirkko
Kuopio, Vehmersalmen kirkko
Kurikka, Kurikan kirkko
Kuusamo, Pyhän Ristin kirkko
Kärkölä, Kärkölän kirkko
Kärsämäki, Kärsämäen Engelin kirkko
Lahti, Lahden Ristinkirkko
Lahti, Nastolan kirkko
